"model","pond_id","feature","phi"
"RF",1,"DOC",-8.14840052129657
"RF",1,"Cum_Feed",-1.3504663098477
"RF",1,"FTF2",-1.05038905534941
"RF",1,"FTF1",-0.773231471012671
"RF",1,"FTF4",0.277567411978066
"RF",1,"FTF3",-0.173158203252138
"RF",1,"Daily__feed",0.172047913282158
"RF",1,"pH",0.0943333073847938
"RF",1,"PH_PM",-0.065399145897516
"RF",1,"Stocking_Density",-0.0334767205646267
"RF",2,"DOC",-1.16505426002638
"RF",2,"Cum_Feed",-0.825557508353843
"RF",2,"Daily__feed",0.764232124496201
"RF",2,"FTF4",0.448344964188551
"RF",2,"FTF2",-0.246756372863772
"RF",2,"FTF3",0.237870225751533
"RF",2,"pH",0.133553262287628
"RF",2,"FTF1",-0.0678038519060641
"RF",2,"Pond_Type.BFT",0.0563350457519255
"RF",2,"Farm_ID.F003",0.0531379543809531
"RF",3,"DOC",-0.851719808504625
"RF",3,"Cum_Feed",-0.742661996043473
"RF",3,"Daily__feed",0.686999845474921
"RF",3,"FTF4",0.321097550168524
"RF",3,"FTF3",0.24079507278941
"RF",3,"FTF2",-0.163792116470845
"RF",3,"Farm_ID.F003",0.156952539290994
"RF",3,"Pond_Type.BFT",0.139149299327981
"RF",3,"pH",0.101675108250881
"RF",3,"Variant.SIS.GROWTH.LINE",0.0332358183563487
"RF",4,"Cum_Feed",-0.678553789943255
"RF",4,"DOC",-0.663902199333524
"RF",4,"Daily__feed",0.568690598842607
"RF",4,"FTF2",-0.229489588452866
"RF",4,"Farm_ID.F003",0.186458169075247
"RF",4,"FTF4",0.164680401479764
"RF",4,"Pond_Type.BFT",0.144759468485457
"RF",4,"FTF3",0.11897287216102
"RF",4,"pH",0.0771561595934905
"RF",4,"Temp_PM",0.0670707450818504
"RF",5,"DOC",-0.954102202037005
"RF",5,"Cum_Feed",-0.657071370595933
"RF",5,"Daily__feed",0.615310483168616
"RF",5,"FTF3",0.266720306572981
"RF",5,"FTF4",0.236418005771778
"RF",5,"pH",0.141265146565852
"RF",5,"FTF2",-0.137345227806725
"RF",5,"FTF1",0.105621175047678
"RF",5,"Pond_Type.BFT",0.0707736500241307
"RF",5,"Farm_ID.F003",0.0644687172457824
"XGBoost",1,"DOC",-8.13776656502858
"XGBoost",1,"Cum_Feed",-1.0972948682867
"XGBoost",1,"FTF1",-1.05945141941309
"XGBoost",1,"FTF2",-0.579396939575672
"XGBoost",1,"FTF3",0.501280950102955
"XGBoost",1,"PH_PM",-0.301720432192087
"XGBoost",1,"Stocking_Density",-0.171100447773933
"XGBoost",1,"Daily__feed",-0.0859794198721647
"XGBoost",1,"Farm_ID.F003",0.0558122190833092
"XGBoost",1,"FTF4",0.0416416119039059
"XGBoost",2,"Daily__feed",0.302577438354492
"XGBoost",2,"FTF3",0.297140662670136
"XGBoost",2,"Cum_Feed",-0.244928243160248
"XGBoost",2,"DOC",-0.239737327694893
"XGBoost",2,"FTF4",0.172198891639709
"XGBoost",2,"Temp",-0.103746510744095
"XGBoost",2,"FTF2",-0.0833771800994873
"XGBoost",2,"PH_PM",-0.0746020221710205
"XGBoost",2,"Farm_ID.F003",0.0441532421112061
"XGBoost",2,"Alkalinity",0.0373003196716309
"XGBoost",3,"DOC",-0.395868173837662
"XGBoost",3,"FTF3",0.309597562551498
"XGBoost",3,"Daily__feed",0.258456296920776
"XGBoost",3,"FTF4",0.173626165390015
"XGBoost",3,"Temp",-0.118640141487122
"XGBoost",3,"FTF2",-0.104722188711166
"XGBoost",3,"Farm_ID.F003",0.100262520313263
"XGBoost",3,"Cum_Feed",-0.0892465877532959
"XGBoost",3,"PH_PM",-0.0830501365661621
"XGBoost",3,"FCR",0.0617388248443604
"XGBoost",4,"DOC",-0.446957041025162
"XGBoost",4,"Cum_Feed",-0.376262760162353
"XGBoost",4,"Daily__feed",0.333277235031128
"XGBoost",4,"FTF3",0.294258791804314
"XGBoost",4,"FTF4",0.209199701547623
"XGBoost",4,"Farm_ID.F003",0.150948662757874
"XGBoost",4,"Temp",-0.126710177659988
"XGBoost",4,"FTF2",-0.09911003947258
"XGBoost",4,"FTF1",-0.077092342376709
"XGBoost",4,"Pond_Type.BFT",0.0531463432312012
"XGBoost",5,"DOC",-0.398770577907562
"XGBoost",5,"FTF3",0.308330426216125
"XGBoost",5,"Daily__feed",0.257144119739532
"XGBoost",5,"Cum_Feed",-0.205797834396362
"XGBoost",5,"FTF4",0.182277045249939
"XGBoost",5,"Temp",-0.104146978855133
"XGBoost",5,"Farm_ID.F003",0.0796455669403076
"XGBoost",5,"FCR",0.0687318563461304
"XGBoost",5,"PH_PM",-0.0656851959228516
"XGBoost",5,"FTF1",0.0593161737918854
"BPNN",1,"DOC",-2.51621253629869
"BPNN",1,"FTF1",-2.28118175182327
"BPNN",1,"pH",1.98974273064751
"BPNN",1,"PH_PM",-1.44183289285701
"BPNN",1,"FTF4",1.02159473385472
"BPNN",1,"POND_SIZE_Ha",-0.906539196241688
"BPNN",1,"PL__SIZE",-0.723842766057145
"BPNN",1,"Daily__feed",-0.696208068569799
"BPNN",1,"FTF3",0.497561128338038
"BPNN",1,"Temp",0.479650263393236
"BPNN",2,"pH",3.12696513625119
"BPNN",2,"DOC",-2.69704208217222
"BPNN",2,"PH_PM",-1.51453848894916
"BPNN",2,"FTF3",1.17452312811823
"BPNN",2,"POND_SIZE_Ha",-0.942081407100872
"BPNN",2,"FTF1",-0.921257568842865
"BPNN",2,"FCR",0.702212211648457
"BPNN",2,"FTF4",0.648397244297006
"BPNN",2,"Daily__feed",-0.63071255162785
"BPNN",2,"FTF2",-0.572497747285465
"BPNN",3,"pH",2.73933618180749
"BPNN",3,"PH_PM",-1.82058348248951
"BPNN",3,"DOC",-1.43528098094558
"BPNN",3,"Stocking_Density",1.0535812953162
"BPNN",3,"POND_SIZE_Ha",-0.813101071070268
"BPNN",3,"FTF3",0.782720110050914
"BPNN",3,"PL__SIZE",-0.713821899189002
"BPNN",3,"FTF1",-0.61654735409825
"BPNN",3,"Salinity",0.381133313138379
"BPNN",3,"FTF4",0.375353901412011
"BPNN",4,"pH",2.61618931069448
"BPNN",4,"PH_PM",-1.8908795353166
"BPNN",4,"DOC",-1.64739900632482
"BPNN",4,"FTF4",0.863646117519938
"BPNN",4,"POND_SIZE_Ha",-0.713262460315425
"BPNN",4,"FTF3",0.613860857084124
"BPNN",4,"PL__SIZE",-0.604803157069246
"BPNN",4,"FTF1",-0.599566419295099
"BPNN",4,"Temp",0.554228441809737
"BPNN",4,"FCR",0.543986634994443
"BPNN",5,"DOC",-2.51386084628372
"BPNN",5,"pH",2.18923335981129
"BPNN",5,"PH_PM",-1.15304588926
"BPNN",5,"FTF4",0.939425960891146
"BPNN",5,"POND_SIZE_Ha",-0.824094464770841
"BPNN",5,"FCR",0.670149229368574
"BPNN",5,"FTF1",-0.66625875792456
"BPNN",5,"Temp",0.6638408072677
"BPNN",5,"Daily__feed",-0.52416510429944
"BPNN",5,"PL__SIZE",-0.475306541009266
